instruction,domain,intent,sub_intent,tool,response_mode,entity_product,entity_merchant,entity_brand,entity_category,entity_price_min,entity_price_max,entity_location,entity_radius,requires_memory,requires_rag,requires_recommendation,planner_action,workflow_type,planner_actions,planner_action_count,tool_sequence
Find bananas.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Bananas,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Search for whole milk.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Whole Milk,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Show me eggs.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Eggs,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Look for basmati rice.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Basmati Rice,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Find a loaf of bread.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Bread,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Search for orange juice.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Orange Juice,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Show me butter.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Butter,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Look up ground coffee.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Ground Coffee,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Find spaghetti.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Spaghetti,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
Search for tomato sauce.,PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Tomato Sauce,,,,,,,,false,false,false,SEARCH_PRODUCT,single,SEARCH_PRODUCT,1,merchant_search
