instruction,domain,intent,sub_intent,tool,response_mode,entity_product,entity_merchant,entity_brand,entity_category,entity_price_min,entity_price_max,entity_location,entity_radius,planner_action,workflow_type,planner_actions,planner_action_count,tool_sequence
Any offers in Stuttgart.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Stuttgart,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Any offers on Galaxy S25.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Galaxy S25,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Any today's offers.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Can you find offers in Hamburg.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Hamburg,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Can you find offers on AirPods Pro.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,AirPods Pro,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Can you find today's offers.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Display offers in Berlin.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Berlin,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Display offers in Cologne.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Cologne,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Display offers in Frankfurt.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Frankfurt,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Display offers on Cheese.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Cheese,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Display offers on Chicken Breast.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Chicken Breast,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Display offers on PlayStation 5.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,PlayStation 5,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Display today's offers.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers in Berlin.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Berlin,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers in Cologne.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Cologne,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers in Frankfurt.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Frankfurt,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers in Stuttgart.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Stuttgart,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers on AirPods Pro.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,AirPods Pro,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers on Butter.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Butter,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers on Coffee Beans.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Coffee Beans,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers on Eggs.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Eggs,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
Find offers on Milk.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,Milk,,,,,,,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
I'm looking for offers in Frankfurt.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Frankfurt,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
I'm looking for offers in Hamburg.,OFFER,SEARCH,SEARCH,merchant_search,hybrid,,,,,,,Hamburg,,SEARCH_OFFERS,single,SEARCH_OFFERS,1,merchant_search
